replication,batch_id,station,product,volume_in_m3,volume_out_m3,scrap_m3,enter_buffer_time_h,start_process_time_h,end_process_time_h,setup_time_h,birth_time_h,source_aserradero_batch_id
1,108,drymill,P3,40.75,38.768,1.981,1393.6236529404582,1519.0,1522.0788295359853,0.0,1393.6236529404582,417
1,109,drymill,P3,35.136,34.015,1.121,1393.6236529404582,1522.0788295359853,1524.8318560879313,0.0,1393.6236529404582,417
1,42,impregnado,P3,40.553,40.553,0.0,1393.6236529404582,1522.0788295359853,1525.7134039716682,0.0,1393.6236529404582,417
1,457,aserradero,P2,29.989,14.845,15.144,1524.9963535579236,1525.481244278777,1526.9568815155496,0.49,1526.9568815155496,457
1,458,aserradero,P2,28.417,14.071,14.346,1525.371978066213,1526.9568815155496,1528.38987871401,0.0,1528.38987871401,458
1,43,impregnado,P3,37.882,37.882,0.0,1393.6236529404582,1525.7134039716682,1529.420740048279,0.0,1393.6236529404582,417
1,459,aserradero,P2,31.363,15.901,15.462,1525.8587783971977,1528.38987871401,1530.1442725406719,0.0,1530.1442725406719,459
1,460,aserradero,P1,31.581,15.641,15.94,1529.23499629527,1530.6342725406719,1532.1740974731686,0.49,1532.1740974731686,460
1,149,bano,P1,15.37,15.37,0.0,1532.1740974731686,1532.1740974731686,1532.8313189545422,0.0,1532.1740974731686,460
1,461,aserradero,P2,6.771,3.452,3.32,1530.5686158728183,1532.6640974731686,1533.0960099705458,0.49,1533.0960099705458,461
1,462,aserradero,P3,31.968,15.608,16.36,1533.7321291845808,1534.2221291845808,1535.6712346875404,0.49,1535.6712346875404,462
1,463,aserradero,P3,32.093,16.236,15.856,1534.86792075491,1543.0,1544.4477578485455,0.0,1544.4477578485455,463
1,464,aserradero,P2,0.246,0.126,0.12,1534.937715036127,1544.9377578485455,1544.9494836346198,0.49,1544.9494836346198,464
1,465,aserradero,P1,30.379,15.031,15.348,1545.2812466453954,1545.7712466453954,1547.3098700908272,0.49,1547.3098700908272,465
1,72,secado,P3,69.615,66.896,2.719,1449.07083787976,1516.2636209319999,1547.664233255047,0.0,1449.07083787976,437
1,150,bano,P1,15.577,15.34,0.237,1547.3098700908272,1547.3098700908272,1547.9763324723237,0.0,1547.3098700908272,465
1,466,aserradero,P3,30.052,15.25,14.802,1546.1890282299014,1547.7998700908272,1549.2159133184152,0.49,1549.2159133184152,466
1,110,drymill,P3,41.417,38.728,2.689,1449.07083787976,1547.664233255047,1550.6976281224108,0.0,1449.07083787976,437
1,467,aserradero,P1,31.949,15.804,16.144,1548.1630362398705,1549.7059133184152,1551.0293926220334,0.49,1551.0293926220334,467
1,151,bano,P1,15.668,15.668,0.0,1551.0293926220334,1551.0293926220334,1551.7238902325178,0.0,1551.0293926220334,467
1,468,aserradero,P3,30.567,15.582,14.984,1549.861443354116,1551.5193926220334,1553.002177083445,0.49,1553.002177083445,468
1,111,drymill,P3,29.736,28.279,1.457,1449.07083787976,1550.6976281224108,1553.0383278963943,0.0,1449.07083787976,437
1,44,impregnado,P3,35.649,35.649,0.0,1449.07083787976,1550.6976281224108,1554.5620716780923,0.0,1449.07083787976,437
1,469,aserradero,P2,30.355,14.83,15.525,1551.0663747553335,1553.492177083445,1554.9918958964527,0.49,1554.9918958964527,469
1,470,aserradero,P1,28.472,13.992,14.479,1553.3415897433422,1555.4818958964527,1556.985391998672,0.49,1556.985391998672,470
1,152,bano,P1,15.085,15.085,0.0,1556.985391998672,1556.985391998672,1557.5708049663738,0.0,1556.985391998672,470
1,45,impregnado,P3,28.115,28.01,0.105,1449.07083787976,1554.5620716780923,1557.7117566559025,0.0,1449.07083787976,437
1,471,aserradero,P2,18.271,9.298,8.973,1555.2378910605378,1557.475391998672,1558.4254935496779,0.49,1558.4254935496779,471
1,73,secado,P3,46.354,44.654,1.7,1533.5443698715283,1547.664233255047,1565.0973517692576,0.0,1533.5443698715283,455
1,112,drymill,P3,39.207,36.414,2.794,1533.5443698715283,1567.0,1569.9193684242578,0.0,1533.5443698715283,455
1,113,drymill,P3,3.451,3.265,0.186,1533.5443698715283,1569.9193684242578,1570.190237984383,0.0,1533.5443698715283,455
1,472,aserradero,P2,31.05,15.634,15.416,1570.143171684612,1570.143171684612,1571.6758836297922,0.0,1571.6758836297922,472
1,473,aserradero,P3,2.696,1.337,1.359,1570.143171684612,1572.1658836297922,1572.3111169100662,0.49,1572.3111169100662,473
1,46,impregnado,P3,40.548,40.548,0.0,1533.5443698715283,1569.9193684242578,1573.731507512186,0.0,1533.5443698715283,455
1,47,impregnado,P3,3.254,3.254,0.0,1533.5443698715283,1573.731507512186,1574.0648757958668,0.0,1533.5443698715283,455
1,74,secado,P3,29.239,28.794,0.445,1551.1090452009303,1565.0973517692576,1574.8107763930998,0.0,1551.1090452009303,466
1,75,secado,P3,1.354,1.3,0.054,1572.3111169100662,1574.8107763930998,1575.2457308431667,0.0,1572.3111169100662,473
1,114,drymill,P3,27.371,26.363,1.007,1551.1090452009303,1574.8107763930998,1577.4809798116219,0.0,1551.1090452009303,466
1,115,drymill,P3,1.327,1.274,0.053,1572.3111169100662,1577.4809798116219,1577.5854445451823,0.0,1572.3111169100662,473
1,474,aserradero,P1,26.625,13.292,13.333,1576.6912862270535,1577.1812862270535,1578.6476279209478,0.49,1578.6476279209478,474
1,153,bano,P1,14.537,14.132,0.405,1578.6476279209478,1578.6476279209478,1579.2333067418087,0.0,1578.6476279209478,474
1,48,impregnado,P3,28.227,28.139,0.088,1551.1090452009303,1577.4809798116219,1580.5737476461973,0.0,1551.1090452009303,466
1,475,aserradero,P3,31.461,15.855,15.606,1577.6336538513863,1579.1376279209478,1580.6425266346128,0.49,1580.6425266346128,475
1,49,impregnado,P3,1.245,1.215,0.03,1572.3111169100662,1580.5737476461973,1580.691675805452,0.0,1572.3111169100662,473
1,476,aserradero,P2,31.775,15.669,16.106,1577.7760183582348,1581.1325266346128,1582.8567876133397,0.49,1582.8567876133397,476
1,477,aserradero,P3,28.999,14.438,14.561,1578.829540036654,1583.3467876133398,1584.8133611810329,0.49,1584.8133611810329,477
1,478,aserradero,P3,30.793,15.026,15.767,1579.8809719559947,1591.0,1592.5154376760731,0.0,1592.5154376760731,478
1,479,aserradero,P2,31.747,16.141,15.606,1579.9302503699696,1593.0054376760731,1594.4994399668044,0.49,1594.4994399668044,479
1,480,aserradero,P2,32.158,16.264,15.894,1580.259158417499,1594.4994399668044,1595.954441110019,0.0,1595.954441110019,480
1,481,aserradero,P1,31.326,15.512,15.814,1580.9302066243536,1596.444441110019,1597.9828900623406,0.49,1597.9828900623406,481
1,154,bano,P1,14.361,14.06,0.301,1597.9828900623406,1597.9828900623406,1598.5869051592936,0.0,1597.9828900623406,481
1,482,aserradero,P1,30.518,15.142,15.376,1582.4382791039016,1597.9828900623406,1599.5959878379333,0.0,1599.5959878379333,482
1,155,bano,P1,15.132,15.132,0.0,1599.5959878379333,1599.5959878379333,1600.148516642342,0.0,1599.5959878379333,482
1,483,aserradero,P1,28.994,14.242,14.752,1585.4140782096408,1599.5959878379333,1600.9017576419599,0.0,1600.9017576419599,483
1,156,bano,P1,14.904,14.716,0.188,1600.9017576419599,1600.9017576419599,1601.5132871370702,0.0,1600.9017576419599,483
1,484,aserradero,P1,28.594,14.028,14.566,1592.613480835628,1600.9017576419599,1602.3809569508312,0.0,1602.3809569508312,484
1,157,bano,P1,15.244,14.98,0.264,1602.3809569508312,1602.3809569508312,1602.9432826806662,0.0,1602.3809569508312,484
1,76,secado,P2,82.299,80.575,1.724,1387.3924061220252,1576.6557308431668,1604.1827650707226,1.41,1387.3924061220252,418
1,485,aserradero,P2,31.957,15.9,16.057,1595.9778959153284,1602.8709569508312,1604.371854969673,0.49,1604.371854969673,485
1,486,aserradero,P2,28.199,14.088,14.111,1596.668473457304,1604.371854969673,1605.849456704415,0.0,1605.849456704415,486
1,487,aserradero,P1,30.432,14.838,15.594,1597.741883733837,1606.339456704415,1607.8382111780006,0.49,1607.8382111780006,487
1,116,drymill,P2,42.529,40.317,2.211,1387.3924061220252,1604.7727650707225,1607.9929038282646,0.59,1387.3924061220252,418
1,158,bano,P1,14.248,13.866,0.383,1607.8382111780006,1615.0,1615.6463974730823,0.0,1607.8382111780006,487
1,488,aserradero,P1,29.517,15.011,14.506,1599.118810454369,1615.0,1616.3519546807304,0.0,1616.3519546807304,488
1,159,bano,P1,14.287,14.268,0.019,1616.3519546807304,1616.3519546807304,1616.9138752345166,0.0,1616.3519546807304,488
1,117,drymill,P2,36.829,34.51,2.319,1387.3924061220252,1615.0,1617.642754637849,0.0,1387.3924061220252,418
1,489,aserradero,P2,30.495,14.989,15.507,1601.0425218414634,1616.8419546807304,1618.3099601448785,0.49,1618.3099601448785,489
1,490,aserradero,P3,32.048,15.873,16.175,1602.2810664021395,1618.7999601448785,1620.3689908939668,0.49,1620.3689908939668,490
1,491,aserradero,P1,31.083,15.595,15.488,1602.7121163635097,1620.8589908939668,1622.453276725826,0.49,1622.453276725826,491
1,160,bano,P1,15.806,15.806,0.0,1622.4532767258258,1622.453276725826,1623.0312365344325,0.0,1622.4532767258258,491
1,492,aserradero,P1,29.95,14.713,15.237,1603.2325910572285,1622.453276725826,1624.1506076081923,0.0,1624.1506076081923,492
1,161,bano,P1,14.65,14.443,0.207,1624.1506076081923,1624.1506076081923,1624.7563207671371,0.0,1624.1506076081923,492
1,493,aserradero,P1,28.467,14.453,14.014,1607.0359329692847,1624.1506076081923,1625.729863834772,0.0,1625.729863834772,493
1,162,bano,P1,14.249,14.249,0.0,1625.729863834772,1625.729863834772,1626.449174329562,0.0,1625.729863834772,493
1,494,aserradero,P3,30.861,15.065,15.796,1617.240920123855,1626.219863834772,1627.6192587751893,0.49,1627.6192587751893,494
1,495,aserradero,P2,31.621,16.067,15.554,1618.317616399808,1628.1092587751893,1629.537067429646,0.49,1629.537067429646,495
1,77,secado,P2,84.012,83.296,0.717,1433.7689900425933,1604.1827650707226,1630.165684636144,0.0,1433.7689900425933,430
1,496,aserradero,P2,29.728,14.531,15.198,1621.1554542852023,1629.537067429646,1631.0435489344868,0.0,1631.0435489344868,496
1,118,drymill,P2,39.175,38.087,1.089,1433.7689900425933,1630.165684636144,1633.7397271743814,0.0,1433.7689900425933,430
1,497,aserradero,P1,31.743,16.046,15.697,1622.405979408009,1639.49,1641.1267136696247,0.49,1641.1267136696247,497
1,163,bano,P1,15.186,15.186,0.0,1641.1267136696247,1641.1267136696247,1641.7341455534329,0.0,1641.1267136696247,497
1,119,drymill,P2,37.539,35.687,1.852,1433.7689900425933,1639.0,1641.7701783699506,0.0,1433.7689900425933,430
1,498,aserradero,P1,30.375,15.177,15.199,1623.5458297391156,1641.1267136696247,1642.5552725800128,0.0,1642.5552725800128,498
1,164,bano,P1,14.806,14.632,0.175,1642.5552725800128,1642.5552725800128,1643.207103667248,0.0,1642.5552725800128,498
1,499,aserradero,P2,29.72,14.835,14.884,1624.0194333333343,1643.0452725800128,1649.6533402764069,0.49,1649.6533402764069,499
1,500,aserradero,P1,28.502,14.341,14.16,1625.2746372322426,1650.143340276407,1651.682976128225,0.49,1651.682976128225,500
1,165,bano,P1,15.45,15.45,0.0,1651.682976128225,1651.682976128225,1652.3036209516924,0.0,1651.682976128225,500
1,501,aserradero,P2,29.386,14.7,14.686,1627.8579339744076,1652.172976128225,1653.7654416775113,0.49,1653.7654416775113,501
1,502,aserradero,P2,31.936,16.271,15.665,1632.0044967658982,1653.7654416775113,1655.2849216678846,0.0,1655.2849216678846,502
1,78,secado,P2,77.844,74.812,3.032,1490.5303119025934,1630.165684636144,1661.5770615963434,0.0,1490.5303119025934,449
1,503,aserradero,P1,29.935,15.032,14.903,1639.290702393718,1687.49,1689.1391596035955,0.49,1689.1391596035955,503
