replication,buffer,time_h,event_type,product,delta_m3,level_after_m3
0,stock_aserrado,202.36540146452657,PUT,P2,15.0,139.27884283776237
0,log_yard,202.36540146452657,GET,LOG,-30.0,25.254394895132208
0,stock_seco,202.64853779963528,PUT,P2,43.65,43.65
0,stock_aserrado,202.64853779963528,GET,P2,-30.0,109.27884283776237
0,stock_seco,202.64853779963528,GET,P2,-40.0,3.6499999999999986
0,log_yard,202.7440285227364,PUT,LOG,34.15933899161551,59.41373388674772
0,log_yard,203.318301217816,PUT,LOG,38.38359575231884,97.79732963906656
0,stock_aserrado,204.05514431820512,PUT,P2,15.0,124.27884283776237
0,log_yard,204.54514431820513,GET,LOG,-30.0,67.79732963906656
0,log_yard,205.1647665194704,PUT,LOG,34.47465355934688,102.27198319841344
0,stock_seco,205.35563059661982,GET,P2,-3.6499999999999986,0.0
0,stock_aserrado,206.05051711755164,PUT,P1,15.0,139.27884283776237
0,log_yard,206.05051711755164,GET,LOG,-30.0,72.27198319841344
0,stock_aserrado,206.05051711755164,GET,P1,-15.0,124.27884283776237
0,log_yard,207.3367677166308,PUT,LOG,29.863119156592486,102.13510235500593
0,stock_aserrado,207.60934344656278,PUT,P1,15.0,139.27884283776237
0,log_yard,207.60934344656278,GET,LOG,-30.0,72.13510235500593
0,stock_aserrado,207.60934344656278,GET,P1,-15.0,124.27884283776237
0,log_yard,208.77383953643664,PUT,LOG,26.284645729862074,98.419748084868
0,stock_aserrado,209.25157794109003,PUT,P1,15.0,139.27884283776237
0,log_yard,209.25157794109003,GET,LOG,-30.0,68.419748084868
0,stock_aserrado,209.25157794109003,GET,P1,-15.0,124.27884283776237
0,stock_aserrado,210.7095416314089,PUT,P1,15.0,139.27884283776237
0,log_yard,210.7095416314089,GET,LOG,-30.0,38.419748084868004
0,stock_aserrado,210.7095416314089,GET,P1,-15.0,124.27884283776237
0,log_yard,211.74430166426401,PUT,LOG,37.41729088193195,75.83703896679995
0,stock_aserrado,212.17489056414618,PUT,P1,15.0,139.27884283776237
0,log_yard,212.17489056414618,GET,LOG,-30.0,45.83703896679995
0,stock_aserrado,212.17489056414618,GET,P1,-15.0,124.27884283776237
0,log_yard,212.74942786232248,PUT,LOG,37.368253300822154,83.2052922676221
0,stock_aserrado,213.69885080414736,PUT,P1,15.0,139.27884283776237
0,log_yard,213.69885080414736,GET,LOG,-30.0,53.2052922676221
0,stock_aserrado,213.69885080414736,GET,P1,-15.0,124.27884283776237
0,stock_seco,213.99116773048706,PUT,P2,29.099999999999998,29.099999999999998
0,stock_aserrado,213.99116773048706,GET,P2,-15.0,109.27884283776237
0,stock_seco,213.99116773048706,GET,P2,-29.099999999999998,0.0
0,stock_aserrado,215.22358548611462,PUT,P1,15.0,124.27884283776237
0,stock_seco,219.34566239658147,PUT,P2,14.549999999999999,14.549999999999999
0,stock_aserrado,220.75566239658147,GET,P3,-80.0,44.27884283776237
0,stock_aserrado,223.0,GET,P1,-15.0,29.27884283776237
0,stock_seco,223.0,GET,P2,-14.549999999999999,0.0
0,log_yard,223.28552504372496,PUT,LOG,30.019573748806536,83.22486601642863
0,log_yard,223.49,GET,LOG,-30.0,53.224866016428635
0,log_yard,224.70233306143234,PUT,LOG,35.929615234943036,89.15448125137166
0,stock_aserrado,225.16119218150874,PUT,P2,15.0,44.27884283776237
0,log_yard,225.16119218150874,GET,LOG,-30.0,59.154481251371664
0,stock_aserrado,226.69241453487453,PUT,P2,15.0,59.27884283776237
0,log_yard,226.69241453487453,GET,LOG,-30.0,29.154481251371664
0,stock_aserrado,228.1896573733924,PUT,P2,15.0,74.27884283776237
0,log_yard,228.1896573733924,GET,LOG,-29.15448125137165,1.4210854715202004e-14
0,log_yard,228.4226157168498,PUT,LOG,29.87077929555976,29.870779295559775
0,log_yard,228.84188771160618,PUT,LOG,25.525102319627766,55.39588161518754
0,stock_aserrado,229.67621209076276,PUT,P2,14.577240625685825,88.85608346344819
0,log_yard,230.16621209076277,GET,LOG,-30.0,25.39588161518754
0,log_yard,230.24656416686315,PUT,LOG,29.481215440737056,54.877097055924594
0,stock_aserrado,231.60267703141707,PUT,P3,15.0,103.85608346344819
0,log_yard,232.09267703141708,GET,LOG,-30.0,24.877097055924594
0,log_yard,233.78180354013801,PUT,LOG,34.11900684013171,58.996103896056304
0,stock_aserrado,233.79188132935414,PUT,P1,15.0,118.85608346344819
0,log_yard,233.79188132935414,GET,LOG,-30.0,28.996103896056304
0,stock_aserrado,233.79188132935414,GET,P1,-15.0,103.85608346344819
0,log_yard,235.01983134816555,PUT,LOG,20.343249180270252,49.33935307632656
0,stock_aserrado,235.28707540830905,PUT,P1,15.0,118.85608346344819
0,stock_aserrado,235.28707540830905,GET,P1,-15.0,103.85608346344819
0,log_yard,235.77707540830906,GET,LOG,-30.0,19.33935307632656
0,stock_aserrado,237.32818721121066,PUT,P2,15.0,118.85608346344819
0,log_yard,237.81818721121067,GET,LOG,-19.339353076326546,1.4210854715202004e-14
0,stock_aserrado,238.7214669777687,PUT,P3,9.669676538163273,128.52576000161145
0,log_yard,247.83244714610828,PUT,LOG,32.55045709993308,32.55045709993309
0,log_yard,248.3224471461083,GET,LOG,-30.0,2.550457099933091
0,stock_aserrado,249.61376263231577,PUT,P2,15.0,143.52576000161145
0,log_yard,249.61376263231577,GET,LOG,-2.5504570999330767,1.4210854715202004e-14
0,stock_aserrado,249.76038264889473,PUT,P2,1.2752285499665383,144.80098855157797
0,log_yard,251.2715782722749,PUT,LOG,27.486389131056775,27.48638913105679
0,log_yard,251.2715782722749,GET,LOG,-27.486389131056775,1.4210854715202004e-14
0,stock_seco,251.64135107070055,PUT,P3,77.6,77.6
0,stock_aserrado,251.64135107070055,GET,P3,-53.94851937592564,90.85246917565233
0,stock_seco,252.23135107070055,GET,P3,-40.0,37.599999999999994
0,stock_aserrado,252.64194002630182,PUT,P2,13.743194565528388,104.59566374118072
0,log_yard,254.84559941674507,PUT,LOG,39.027247588782906,39.02724758878292
0,log_yard,255.33559941674508,GET,LOG,-30.0,9.02724758878292
0,stock_drymill,255.38829497072382,PUT,P3,38.0,38.0
0,stock_drymill,255.38829497072382,GET,P3,-38.0,0.0
0,stock_seco,255.38829497072382,GET,P3,-37.599999999999994,0.0
0,stock_aserrado,256.8393192127764,PUT,P1,15.0,119.59566374118072
0,stock_aserrado,256.8393192127764,GET,P1,-15.0,104.59566374118072
0,log_yard,257.3293192127764,GET,LOG,-9.027247588782906,1.4210854715202004e-14
0,stock_aserrado,257.7964021637879,PUT,P2,4.513623794391453,109.10928753557216
0,log_yard,257.8634075239795,PUT,LOG,38.85094998843416,38.850949988434174
0,log_yard,257.8634075239795,GET,LOG,-30.0,8.850949988434174
0,stock_drymill,258.434594186726,PUT,P3,35.71999999999999,35.71999999999999
0,stock_drymill,259.0616001232676,GET,P3,-35.71999999999999,0.0
0,stock_aserrado,259.4596463859194,PUT,P2,15.0,124.10928753557216
0,log_yard,259.94964638591944,GET,LOG,-8.85094998843416,1.4210854715202004e-14
0,stock_aserrado,260.4059652064701,PUT,P3,4.42547499421708,128.53476252978925
0,log_yard,260.6861871450909,PUT,LOG,32.56120248761394,32.561202487613954
0,log_yard,261.1761871450909,GET,LOG,-30.0,2.5612024876139543
0,stock_aserrado,262.6899206636402,PUT,P1,15.0,143.53476252978925
0,stock_aserrado,262.6899206636402,GET,P1,-15.0,128.53476252978925
0,log_yard,263.1799206636402,GET,LOG,-2.56120248761394,1.4210854715202004e-14
0,stock_aserrado,263.30874494933005,PUT,P3,1.28060124380697,129.81536377359623
0,stock_seco,270.7447973305568,PUT,P3,52.33006379464787,52.33006379464787
0,stock_aserrado,270.7447973305568,GET,P3,-5.70607623802405,124.10928753557218
0,stock_seco,271.0,GET,P3,-40.0,12.33006379464787
0,log_yard,271.2094398741929,PUT,LOG,26.963276204892654,26.96327620489267
0,log_yard,271.69943987419293,GET,LOG,-26.963276204892654,1.4210854715202004e-14
0,stock_seco,272.69392349025594,PUT,P3,5.534893950883328,17.8649577455312
0,stock_aserrado,273.2049980803746,PUT,P1,13.481638102446327,137.59092563801852
0,stock_aserrado,273.2049980803746,GET,P1,-13.481638102446327,124.1092875355722
0,log_yard,273.6266745829072,PUT,LOG,26.11264853410858,26.112648534108594
0,stock_drymill,274.02223343382093,PUT,P3,38.0,38.0
0,stock_drymill,274.02223343382093,GET,P3,-38.0,0.0
0,stock_seco,274.02223343382093,GET,P3,-17.8649577455312,0.0
0,stock_aserrado,274.10392349025597,GET,P2,-80.0,44.10928753557219
0,log_yard,274.1166745829072,GET,LOG,-26.11264853410858,1.4210854715202004e-14
0,stock_aserrado,275.3146765728837,PUT,P2,13.05632426705429,57.165611802626486
0,stock_drymill,275.4032848926497,PUT,P3,16.971709858254638,16.971709858254638
0,log_yard,276.13365768164937,PUT,LOG,29.623557000387525,29.62355700038754
0,log_yard,276.13365768164937,GET,LOG,-29.623557000387525,1.4210854715202004e-14
0,stock_aserrado,277.6165425616506,PUT,P2,14.811778500193762,71.97739030282025
0,log_yard,277.92237858834477,PUT,LOG,33.4260249662149,33.42602496621491
0,log_yard,277.92237858834477,GET,LOG,-30.0,3.4260249662149107
0,stock_drymill,278.21238142659746,GET,P3,-16.971709858254638,0.0
0,stock_aserrado,279.1923779293332,PUT,P2,15.0,86.97739030282025
0,log_yard,279.6823779293332,GET,LOG,-3.4260249662148965,1.4210854715202004e-14
0,stock_aserrado,279.8651291621332,PUT,P1,1.7130124831074482,88.6904027859277
0,stock_aserrado,279.8651291621332,GET,P1,-1.7130124831074482,86.97739030282025
0,log_yard,279.93667181814243,PUT,LOG,24.674856745351953,24.674856745351967
0,log_yard,280.42667181814244,GET,LOG,-24.674856745351953,1.4210854715202004e-14
0,log_yard,281.1275466562851,PUT,LOG,31.407198585636326,31.40719858563634
0,stock_aserrado,281.5826026423971,PUT,P2,12.337428372675976,99.31481867549623
0,log_yard,282.0726026423971,GET,LOG,-30.0,1.4071985856363405
0,log_yard,282.21469509013525,PUT,LOG,32.38612825826732,33.79332684390366
0,stock_aserrado,283.50484131017464,PUT,P1,15.0,114.31481867549623
0,log_yard,283.50484131017464,GET,LOG,-30.0,3.7933268439036567
0,stock_aserrado,283.50484131017464,GET,P1,-15.0,99.31481867549623
0,log_yard,284.06867792699876,PUT,LOG,35.93810933184225,39.731436175745905
0,stock_aserrado,285.1416276925453,PUT,P1,15.0,114.31481867549623
0,stock_aserrado,285.1416276925453,GET,P1,-15.0,99.31481867549623
0,log_yard,285.6316276925453,GET,LOG,-30.0,9.731436175745905
0,stock_aserrado,287.1787411065707,PUT,P2,15.0,114.31481867549623
0,log_yard,295.0,GET,LOG,-9.731436175745895,1.0658141036401503e-14
0,stock_aserrado,295.50135922085195,PUT,P2,4.865718087872947,119.18053676336918
0,log_yard,300.441186031305,PUT,LOG,30.41210420678688,30.41210420678689
0,log_yard,300.441186031305,GET,LOG,-30.0,0.4121042067868892
0,stock_aserrado,301.9887375163872,PUT,P2,15.0,134.18053676336916
0,log_yard,301.9887375163872,GET,LOG,-0.41210420678687854,1.0658141036401503e-14
0,stock_aserrado,302.01137603481214,PUT,P2,0.20605210339343927,134.3865888667626
0,log_yard,302.19382646883065,PUT,LOG,24.62433262245205,24.624332622452062
0,log_yard,302.19382646883065,GET,LOG,-24.62433262245205,1.0658141036401503e-14
0,log_yard,302.26675666553734,PUT,LOG,29.595900361526866,29.595900361526876
0,stock_aserrado,303.37659092331455,PUT,P2,12.312166311226026,146.69875517798863
0,log_yard,303.86659092331456,GET,LOG,-29.595900361526866,1.0658141036401503e-14
